titulo,empresa,localizacion,jornada,contrato,salario
"
                        Electrotécnico/a","
                            , Megaprin S.A.","
                        Guayaquil, Guayas","
                            Tiempo Completo
                        ","
                            Contrato por tiempo indefinido
                        ","
                            400,00 US$ (Neto mensual)
                        "
"
                        Asesor Comercial de Aires Acondicionados","
                            , CegaCorp","
                        Guayaquil, Guayas","
                            Tiempo Completo
                        ","
                            Contrato por tiempo indefinido
                        ","
                            A convenir
                        "
"
                        Asistente","
                            , ERIDE S.A.","
                        Quito, Pichincha","
                            Tiempo Completo
                        ","
                            Contrato por tiempo indefinido
                        ","
                            400,00 US$ (Neto mensual)
                        "
"
                        Freelance Asesor Comercial","
                            , Selección de Personal HC","
                        Guayaquil, Guayas","
                            Desde Casa
                        ","
                            Otro tipo de contrato
                        ","
                            A convenir
                        "
"
                        Operador Call Center","
                            , Fastline Cia. Ltda.","
                        Guayaquil, Guayas","
                            Tiempo Completo
                        ","
                            Contrato por tiempo indefinido
                        ","
                            399,00 US$ (Neto mensual)
                        "
"
                        Asistente Administrativo y Operativo en Climatizacion","
                            , CegaCorp","
                        Guayaquil, Guayas","
                            Tiempo Completo
                        ","
                            Contrato por tiempo indefinido
                        ","
                            550,00 US$ (Neto mensual)
                        "
"
                        Asesor Comercial","
                            , We Connect","
                        Cuenca, Azuay","
                            Tiempo Completo
                        ","
                            Contrato por tiempo indefinido
                        ","
                            A convenir
                        "
"
                        Pasante de diseño de modas","
                            , Confecciones  Juveniles S.A.","
                        Rumiñahui, Pichincha","
                            Tiempo Completo
                        ","
                            Otro tipo de contrato
                        ","
                            400,00 US$ (Neto mensual)
                        "
"
                        Técnico Social","
                            , FUNDACION MAQUITA","
                        Portoviejo, Manabí","
                            Tiempo Completo
                        ","
                            Contrato por tiempo determinado
                        ","
                            634,00 US$ (Neto mensual)
                        "
"
                        Pasante Diseño Gráfico","
                            , EVATRUST","
                        Guayaquil, Guayas","
                            Beca/Prácticas
                        ","
                            Contrato de Aprendizaje
                        ","
                            A convenir
                        "
"
                        Asesor Comercial","
                            , We Connect","
                        Guayaquil, Guayas","
                            Tiempo Completo
                        ","
                            Contrato por tiempo indefinido
                        ","
                            500,00 US$ (Neto mensual)
                        "
"
                        Trade marketing","
                            , Camino Del Sol Brewing CO.","
                        Quito, Pichincha","
                            Tiempo Completo
                        ","
                            Contrato por tiempo indefinido
                        ","
                            A convenir
                        "
"
                        Auxiliar contable","
                            , COMERCIALIZADORA ASIA & SUDAMERICA ASA-1 CIA.LTDA.","
                        Quito, Pichincha","
                            Tiempo Completo
                        ","
                            Otro tipo de contrato
                        ","
                            11.111,00 US$ (Neto mensual)
                        "
"
                        Promotor","
                            , Estrategias & Mercado S.A.","
                        Quito, Pichincha","
                            Tiempo Completo
                        ","
                            Contrato por tiempo determinado
                        ","
                            A convenir
                        "
"
                        Ayudante de ruta local Quito","
                            , Italimentos Cía. Ltda.","
                        Quito, Pichincha","
                            Tiempo Completo
                        ","
                            Contrato por tiempo indefinido
                        ","
                            A convenir
                        "
"
                        Lavaauto","
                            , ECUATORIANA DE SERVICIOS LORAVER CIA. LTDA.","
                        Guayaquil, Guayas","
                            Tiempo Completo
                        ","
                            Contrato de obra o labor
                        ","
                            A convenir
                        "
"
                        Asistente de producción","
                            , SOLVESA ECUADOR ","
                        Guayaquil, Guayas","
                            Tiempo Completo
                        ","
                            Contrato por tiempo indefinido
                        ","
                            500,00 US$ (Neto mensual)
                        "
"
                        Merco Impulsadoras",,"
                        Cuenca, Azuay","
                            Tiempo Completo
                        ","
                            Contrato por tiempo indefinido
                        ","
                            420,00 US$ (Neto mensual)
                        "
"
                        Promotor","
                            , Estrategias & Mercado S.A.","
                        Riobamba, Chimborazo","
                            Tiempo Completo
                        ","
                            Contrato por tiempo determinado
                        ","
                            A convenir
                        "
"
                        Pasante de Ingeniería Industrial",,"
                        Quito, Pichincha","
                            Beca/Prácticas
                        ","
                            Otro tipo de contrato
                        ","
                            10.000,00 US$ (Neto mensual)
                        "
"
                        Técnico Pastoral Juvenil Salesiana","
                            , Sociedad Salesiana en el Ecuador","
                        Quito, Pichincha","
                            Tiempo Completo
                        ","
                            Contrato por tiempo indefinido
                        ","
                            900,00 US$ (Neto mensual)
                        "
"
                        Mecánico","
                            , UNIDAD EDUCATIVA TECNICO SALESIANO","
                        Paute, Azuay","
                            Tiempo Completo
                        ","
                            Contrato por tiempo indefinido
                        ","
                            410,00 US$ (Neto mensual)
                        "
"
                        Guardia","
                            , Fortius ","
                        Machala, El Oro","
                            Tiempo Completo
                        ","
                            Contrato por tiempo indefinido
                        ","
                            A convenir
                        "
"
                        Analista programador","
                            , Olympic Juice OlyJuice Cía Ltda","
                        Quito, Pichincha","
                            Tiempo Completo
                        ","
                            Contrato por tiempo determinado
                        ","
                            800,00 US$ (Neto mensual)
                        "
"
                        Asistente de Auditoria ","
                            , Auditool Consultores ","
                        Quito, Pichincha","
                            Tiempo Completo
                        ","
                            Contrato por tiempo determinado
                        ","
                            400,00 US$ (Neto mensual)
                        "
