La Caravana Perdida,Zane Grey,Aventura,Apr 2013,1381,171
El Caballo Salvaje,Zane Grey,Aventura,Apr 2013,1130,149
Al oeste del Pecos,Zane Grey,Aventura,Apr 2013,2685,139
El Vampiro en el Convento,Louis-Antoine De Caraccioli,Aventura,Apr 2013,302,3
El Cuchillo Fatídico,Zane Grey,Aventura,Apr 2013,776,145
Los Caminantes del Desierto,Zane Grey,Aventura,Apr 2013,834,169
Arizona,Zane Grey,Aventura,Apr 2013,1443,120
El Jardín Secreto,G. K.Chesterton,Novela Misterio,Apr 2013,1373,31
Los Mártires,Anton Chejov,Novela Juvenil,Apr 2013,239,6
El Centurión de la Calavera,Abel Carvajal,Aventura,Apr 2013,584,62
El Perseguidor,Julio ,Muestras Gratis,Dec 2011,1681,N/A
Los Cuatro libros de Arquitectura,Andrés Paladio,Muestras Gratis,Oct 2011,1256,186
Los Argonautas,Vicente Blasco Ibáñez,Aventura,Jun 2011,6188,N/A
La Hora de Leviatán,Jose Alemany,Ficción Contemporánea,Mar 2010,9151,539
Al Primer Vuelo,José María de Pereda,Aventura,Aug 2011,7733,342
Los Pazos de Ulloa,Emilia Pardo Bazán,Ficción Contemporánea,Aug 2011,3621,145
El Maestrante,Armando Palacio Valdés,Aventura,Aug 2011,3724,191
El Cuarto Poder,Armando Palacio Valdés,Aventura,Aug 2011,3390,N/A
El Pintor de Salzburgo,Carlos Nodier,Novela Misterio,Aug 2011,1823,N/A
El Tesoro Misterioso,William Le Queux,Novela Misterio,Jul 2011,3685,N/A
La Guardia Blanca--Novela Histórica Escrita en Inglés,Arthur Conan Doyle,Aventura,Jun 2011,3646,N/A
La Copa de Verlaine,Emilio Carrere,Aventura,Jun 2011,2196,N/A
"La Gaviota, Novela de Costumbres.",Fernán Caballero,Aventura,Jun 2011,7901,N/A
La Bodega,Vicente Blasco Ibáñez,Aventura,Jun 2011,4765,N/A
Los Caballeros Templarios,Alejandro Dumas,Muestras Gratis,Mar 2013,7551,10
"La ética, el Arte de ser Feliz ",Alfredo Ramos Genes,Muestras Gratis,Nov 2012,1367,N/A
El Arte de la paz (Arte de Aikido),Miorihei Ueshiva,Muestras Gratis,Jul 2012,1322,N/A
Destinado al éxito,Eliecer Sales,Muestras Gratis,Jul 2012,2835,24
Los Placeres de lola (Primeros Capítulos),Raquel Traba y Beatriz Higón,Muestras Gratis,Jul 2012,1068,37
El Mito de la Belleza,NW,Muestras Gratis,Jul 2012,1620,N/A
Sáquele jugo,Dinora G. Solís,Muestras Gratis,Feb 2012,2039,N/A
El Secreto Oculto del Entrenamiento Abdominal,Dr. Javier Sáez,Muestras Gratis,Feb 2012,3059,N/A
Punto y Aparte,Suzana Guzner,Muestras Gratis,Dec 2011,903,5
Los Parques,Julio ,Muestras Gratis,Dec 2011,1857,2
Viaje a Bangkok,Yolanda Pinto,Muestras Gratis,May 2014,49,5
"Frank Walsh, El Amante",Yolanda Pinto,Muestras Gratis,May 2014,435,8
Festí de Corbs,Gaba,Muestras Gratis,May 2014,59,2
Medicina Natural,Alonso ,Muestras Gratis,Apr 2014,2298,677
Matemática Cotidiana ,Marelendez,Muestras Gratis,Oct 2013,900,33
Biología General,Libardo Ariel Blandón Londoño,Muestras Gratis,Sep 2013,3269,241
El Gran Libro de la Maestra Preescolar,José Barreto Jiménez y otros,Muestras Gratis,Aug 2013,2177,N/A
Lo que pasa Cuando Dejas de oír tu voz Interior,Felix Gabriel Valera,Muestras Gratis,Aug 2013,1257,29
"Estadística, Ejercicios ",Manuel,Muestras Gratis,Jul 2013,534,26
Los Relatos del Padre Brown,G.K. Chesterton.,Muestras Gratis,Apr 2013,1521,14
La Red de Caronte,Gemma Herrero Virto,Muestras Gratis,Jul 2014,882,54
La Amada Inmortal,Yolanda Pinto,Muestras Gratis,Jun 2014,269,9
9ª Sinfonía de Beethoven,Yolanda Pinto,Muestras Gratis,Jun 2014,329,17
40 Años de Matrimonio,Yolanda Pinto,Muestras Gratis,Jun 2014,197,7
"Hay y Habrá Miles de Príncipes, pero Sólo Habrá un Beethoven",Yolanda Pinto,Muestras Gratis,Jun 2014,304,10
5ª Sinfonia de Beethoven,Yolanda Pinto,Muestras Gratis,Jun 2014,808,6
La Tribu de los Mieow,Yolanda Pinto,Muestras Gratis,Jun 2014,238,8
Viaje a Thonen Thong Dan,Yolanda Pinto,Muestras Gratis,Jun 2014,194,11
Viaje a Chicago,Yolanda Pinto,Muestras Gratis,Jun 2014,180,24
La Catarsis Mental,Yolanda Pinto,Muestras Gratis,May 2014,178,15
Ira bajo control,Ne T,Muestras Gratis,Apr 2017,1883,N/A
Me Enamoré ,M.E.,Muestras Gratis,Dec 2016,946,N/A
Pronunciación en inglés,Victor Hugo C.,Muestras Gratis,Dec 2016,1700,N/A
Cocina con Juan Roca,Jona Roca,Muestras Gratis,Oct 2016,1945,N/A
Breve Historia ,Jean ,Muestras Gratis,Jun 2016,591,N/A
Manual Taller Yamaha Virago V535,Yamaha Co.,Muestras Gratis,Jan 2016,270,182
Tipos de Permisos de Trabajo,Organización BYGA,Muestras Gratis,Dec 2015,23,27
Al Debalu - Poemes,Ana Martínez Sierra,Muestras Gratis,Dec 2015,50,51
Memorias Tristes,Gabriel ,Muestras Gratis,Feb 2015,8136,46
Poemas de Martha Pagan,Martha Pagan Poesía,Muestras Gratis,Oct 2014,267,34
El Molino Silencioso y Las Bodas de Yolanda,Hermann Sudermann,Aventura,Aug 2011,808,183
El Mandarín,José María de Eça de Queiroz,Aventura,Aug 2011,1451,46
Tres Mujeres--La Recompensa - Prueba de un Alma - Amores Románticos,Jacinto Octavio Picón ,Aventura,Aug 2011,1298,31
Trafalgar,Benito Pérez Galdós,Aventura,Aug 2011,2647,89
Tormento,Benito Pérez Galdós,Aventura,Aug 2011,5467,184
Misericordia,Benito Pérez Galdós,Aventura,Aug 2011,6301,296
La Fontana de Oro,Benito Pérez Galdós,Aventura,Aug 2011,1249,182
La Desheredada,Benito Pérez Galdós,Aventura,Aug 2011,6199,555
Cádiz,Benito Pérez Galdós,Aventura,Aug 2011,2763,295
Bailén,Benito Pérez Galdós,"Historia, Geografía, Ciencias Políticas",Aug 2011,2954,113
Las Aventuras de Tom Sawyer,Mark Twain,Literatura Infantil,Oct 2011,3329,85
David Copperfield,Charles Dickens,Literatura Infantil,Oct 2011,3215,540
Veinte Mil Leguas de Viaje Submarino,Julio Verne,Literatura Infantil,Oct 2011,8037,180
La Vuelta al Mundo en Ochenta Días,Julio Verne,Literatura Infantil,Oct 2011,4802,124
Los Viajes de Gulliver,Jonathan Swift,Literatura Infantil,Oct 2011,2686,94
Robinson Crusoe,Daniel Defoe,Literatura Infantil,Oct 2011,2348,121
Historia del Señor Jefries  y Nazin el Egipcio,Roberto Arlt,Ficción Contemporánea,Oct 2011,601,5
Aguas Fuertes Porteñas,Roberto Arlt,Ficción Contemporánea,Oct 2011,2445,58
Siddharta,Herman Hesse,Aventura,Oct 2011,6420,82
Demian,Hermann Hesse,Ficción Contemporánea,Oct 2011,5202,67
El Hada y la Sombra,Pedro Pablo Sacristán,Literatura Infantil,Nov 2011,904,1
Hadyi  Murad,Leon Tolstoi,Ficción Contemporánea,Nov 2011,1219,46
Polikushka,Leon Tolstoi,Ficción Contemporánea,Nov 2011,1094,128
Un Médico Rural,Franz Kafka,Ficción Contemporánea,Nov 2011,1157,5
Por el Mundo Arriba,Luis Bonafoux Quintero,"Viajes, Guías",Nov 2011,91,N/A
La isla de los Pingüinos,Anatole France,Ficción Contemporánea,Oct 2011,1460,429
La Madre,Máximo Gorki,Ficción Contemporánea,Oct 2011,1527,204
Aurora Roja,Pío Baroja,Ficción Contemporánea,Oct 2011,1762,N/A
"Thuvia, doncella de Marte",Edgar Rice Burroughs,Literatura Infantil,Oct 2011,2039,88
Chickamauga,Ambrose Bierce,Aventura,Oct 2011,461,5
El tiempo Recobrado,Marcel Proust,Clásicos: Novelas y Cuentos,Nov 2011,1507,N/A
La Buena Fama,Juan Valera,Ficción Contemporánea,Nov 2011,459,54
El caballero de la masion rouge,Alejandro Dumas,Aventura,Nov 2011,1663,342
Torquemada en la cruz,Benito Pérez Galdós,Clásicos: Novelas y Cuentos,Nov 2011,791,116
El nacimiento de un fenómeno 'Kili',José Ignacio Núñez (Chetxu),Literatura Infantil,Nov 2011,3437,192
La increíble historia de Bernie,José Ignacio Núñez  (Chetxu),Literatura Infantil,Nov 2011,1550,135
"Igor, la leyenda",José Ignacio Nuñez (Chetxu),Literatura Infantil,Nov 2011,638,182
El Aprendiz de Mago,José Ignacio Nuñez (Chetxu),Literatura Infantil,Nov 2011,5098,181
Germinal,Émile Zola,Ficción Contemporánea,Nov 2011,1138,240
Lío en la clase de ciencia,Pedro Pablo Sacristán,Literatura Infantil,Nov 2011,578,1
El nuevo Acelerador,G.H. Wells,Aventura,Dec 2011,1220,12
El elixir,Luis Ernesto Romera,Aventura,Nov 2011,5285,136
Los dos libros de San Andre,Danielle  Perez,Literatura Infantil,Nov 2011,653,404
Guerreros ,Josep Pradas,Aventura,Nov 2011,666,77
Templarius,Dave Muñoz Muñoz,Ficción Contemporánea,Nov 2011,1888,137
El grilo del hogar,Charles Dickens,Literatura Infantil,Nov 2011,927,74
Grandes esperanzas ,Charles Dickens,Literatura Infantil,Nov 2011,3447,477
El Adolescente,Fedor Dostoiewski,Aventura,Nov 2011,2373,333
La Caravana de la Vida,Rafael Herce,Ficción Contemporánea,Nov 2011,449,70
"Acero, el hombre",LN,Literatura Infantil,Nov 2011,880,N/A
El maravilloso mago de Oz,Lyman Frank Baum.,Ficción Contemporánea,Mar 2012,4175,113
Empecé la casa por el tejado,Susana Montesinos.,Novela Misterio,Mar 2012,610,23
El viejo y el mar,Ernest Hemingway,Ficción Contemporánea,Feb 2012,8047,N/A
El Mundo Doble  (Relato de un Viaje al Interior del Diccionario) ,Manuel García Noriega ,Ficción Contemporánea,Feb 2012,2925,472
Las Alas de la Muerte,Geoaton,Aventura,Jan 2012,677,104
La escuadrilla del Sahara,Geoon,Novela Juvenil,Jan 2012,203,103
El Dirigible Desaparecido,Geoaton,Novela Juvenil,Jan 2012,768,N/A
Bill Barnes. Alas del país de las Nieves,GeoEaton,Aventura,Jan 2012,1496,84
Una Aventura,Karla Zárate Ramirez (Azuka Yagami),Ficción Contemporánea,Jan 2012,118,31
El Profeta,GIibrán Khalil Gibrán,Aventura,Dec 2011,2709,24
Las Ciudades Invisibles,Italo Calvino,Ciencia Ficción,Mar 2012,2342,N/A
Crónicas de un presagio,Manuel M. Molina De La Hoz,Ficción Contemporánea,Mar 2012,1007,131
20 gramos de arsénico,Carlos Maza Gómez.,Ficción Contemporánea,Mar 2012,7321,84
Retazos,Moisés Herrerías Diego,Ficción Contemporánea,Mar 2012,423,304
Los visitantes,Rubén Bustillos,Ciencia Ficción,Mar 2012,1350,31
El entierro de las ratas (On the water-front),BS,Ficción Contemporánea,Mar 2012,717,18
Los campeones de salto,Hans Christian Andersen..,Ficción Contemporánea,Mar 2012,331,8
La condenada,Vicente Blasco Ibañez.,Clásicos: Novelas y Cuentos,Mar 2012,388,3
Cañas y Barro,Vicente Blasco Ibañez.,Aventura,Mar 2012,1390,216
En el campo,Anton Chejov,Clásicos: Novelas y Cuentos,Mar 2012,694,12
